#관리번호,ISBN,도서명,부제,장르,출판사,저자,출판일,인쇄회차,입고일,가격,총대여횟수,대여상태,대여일,반납완료상태,반납일,대여회원명
B0001,9788901000001,오래된 자바,입문편,IT,옛출판사,김옛날,2014-03-01,1,2015-04-10,25000,0,false,,false,,
B0002,9788901000002,낡은 알고리즘,개정판,IT,옛출판사,박고전,2016-05-20,2,2017-01-15,28000,4,true,2026-08-05,false,,박민수
B0003,9788901000003,구식 네트워크,3판,IT,옛출판사,김옛날,2015-11-11,3,2016-02-20,30000,6,true,2026-08-01,false,,김철수
B0004,9788956746425,자바의 정석,기초편,IT,도우출판,남궁성,2020-06-01,3,2020-07-01,30000,12,false,,true,2026-07-20,
B0005,9788956746425,자바의 정석,기초편,IT,도우출판,남궁성,2020-06-01,3,2020-07-01,30000,8,true,2026-08-08,false,,김철수
B0006,9788956746425,자바의 정석,기초편,IT,도우출판,남궁성,2020-06-01,3,2021-03-02,30000,3,false,,true,2026-06-30,
B0007,9788966260959,클린 코드,애자일 소프트웨어 장인 정신,IT,인사이트,로버트 마틴,2021-03-15,5,2021-04-01,33000,15,false,,true,2026-08-01,
B0008,9788966260959,클린 코드,애자일 소프트웨어 장인 정신,IT,인사이트,로버트 마틴,2021-03-15,5,2022-05-10,33000,5,false,,true,2026-07-15,
B0009,9788932917245,어린 왕자,불어 원전 완역본,소설,열린책들,생텍쥐페리,2019-08-20,2,2019-09-01,9800,1,false,,true,2026-05-11,
B0010,9788937460470,데미안,세계문학전집 44,소설,민음사,헤르만 헤세,2022-01-10,4,2022-02-01,10800,7,true,2026-08-12,false,,이영희
B0011,9788937460470,데미안,세계문학전집 44,소설,민음사,헤르만 헤세,2022-01-10,4,2023-06-15,10800,0,false,,false,,
B0012,9788983711892,코스모스,과학 고전 시리즈,과학,사이언스북스,칼 세이건,2018-12-01,6,2019-01-20,22000,2,false,,true,2026-04-02,
